Insegna,Tipo via,Via,Civico,Codice via,Municipio,Accesso,Isolato,Presso,Forma commercio prevalente,Forma commercio secondaria,Forma vendita,Superficie somministrazione,Bar caffè,Bar gastronomici e simili,Biliardo,Bocce,Carte,Cibi cotti preconfezionati,Discoteche,Genere merceol.autorizz.sanit.,Giochi legge 388/2000,Mensa,Pizzeria,Prodotti di gastronomia,Ristorante,Spaccio bevande analcoliche,Tavola calda,Tavola fredda,Fast food,Osteria,Self service,Trattoria,context_type,IsAnomaly
Non specificata,VIA,MURIALDO PADRE LEONARDO,9,6687,6,accesso interno,92,parrocchia,somministrazione,Assente,misto,160.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,other,False
Non specificata,CORSO,COMO,15,1111,9,accesso esterno,316,Non specificato,somministrazione,Assente,al banco,50.0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,GARIBALDI GIUSEPPE,123,1010,1,accesso interno,0,Non specificato,somministrazione,Assente,self service,83.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,CONCORDIA,3,3116,3,accesso esterno,174,mensa opera s. francesco,somministrazione,Assente,self service,243.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,DI PORTA NUOVA,1,1044,1,accesso interno,8,mensa sidercomit,somministrazione,Assente,self service,334.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,DI PORTA VIGENTINA,35,4026,1,accesso interno,42,Non specificato,somministrazione,Assente,self service,80.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,EUROPA,2,300,1,accesso interno,0,uffici di google,somministrazione,Assente,self service,136.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,company,False
Non specificata,CORSO,ITALIA,19,526,1,accesso interno,330,mensa ussl,somministrazione,Assente,self service,191.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
mensa r.a.s.,CORSO,ITALIA,23,526,1,accesso interno,271,allianz s.p.a.,somministrazione,Assente,self service,139.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,company,False
Non specificata,CORSO,MAGENTA,24,604,1,accesso esterno,291,Non specificato,somministrazione,Assente,self service,384.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,SEMPIONE,29,7137,8,accesso interno,90,Non specificato,somministrazione,Assente,self service,330.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,CORSO,VENEZIA,51,238,1,accesso interno,95,unione del commercio del t,somministrazione,Assente,misto,219.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
